system:index,area,band,class,class_name,.geo
0_0_0,0.15714243615722662,classification_2013,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,4150.040231395011,classification_2013,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,1926.336798359041,classification_2013,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,66.65057575048729,classification_2013,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,513.5442294483157,classification_2013,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,326.4843017386663,classification_2013,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,1182.2493531763628,classification_2013,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,4977.217122212409,classification_2013,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,5533.320306408245,classification_2013,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,5665.537788784923,classification_2013,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,2.482537575073239,classification_2013,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,3295.203472269539,classification_2013,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,108.17677774133328,classification_2013,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,0.050874128417968754,classification_2013,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,2.3496340280151333,classification_2013,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,2.4085337964477502,classification_2013,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,589.5197875962053,classification_2013,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,1813.4007470665065,classification_2013,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,1224.5047837683492,classification_2013,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,56.694742129515255,classification_2013,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,54.416546948730605,classification_2013,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,0.14263995654296874,classification_2013,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,97.61699030205574,classification_2013,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
